                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.61121,                0.83651,                0.64489,                 1.1203,                0.39831,                    0.4,                0.41337,                0.35408,                0.39831,                    0.4,                0.41337,                0.37051,                0.59799,                0.82322,                 3.9602,                 1.4272,             0.00060505,             0.00060505,             0.00060505
                     26,                0.59716,                0.89031,                0.64876,                 1.0955,                0.39883,                    0.4,                0.46142,                0.42588,                0.39883,                    0.4,                0.46142,                0.42491,                0.47426,                0.84662,                 3.7144,                 1.2225,             0.00058305,             0.00058305,             0.00058305
                     27,                0.54129,                0.79308,                0.58399,                 1.0723,                0.39097,                 0.4095,                0.50391,                0.46233,                0.39097,                 0.4095,                0.50391,                0.46229,                0.45938,                  0.905,                  4.146,                 1.2101,             0.00056105,             0.00056105,             0.00056105
                     28,                0.55772,                0.80633,                0.62486,                 1.0801,                0.39091,                0.40946,                0.47347,                0.42844,                0.39091,                0.40946,                0.47347,                0.42989,                0.56725,                0.85147,                 3.9272,                 1.3561,             0.00053906,             0.00053906,             0.00053906
                     29,                0.58246,                0.83256,                0.62084,                 1.0889,                0.39857,                    0.4,                0.41554,                 0.3692,                0.39857,                    0.4,                0.41554,                0.38724,                0.44369,                0.88464,                 4.0442,                 1.1812,             0.00051706,             0.00051706,             0.00051706
                     30,                0.56605,                0.79214,                0.55843,                 1.0857,                0.39823,                    0.4,                0.40185,                0.35304,                0.39823,                    0.4,                0.40185,                 0.3694,                0.46489,                0.89946,                 4.1895,                 1.1937,             0.00049506,             0.00049506,             0.00049506
                     31,                 0.5624,                0.82501,                0.53803,                 1.0791,                0.39895,                    0.4,                0.40787,                0.36824,                0.39895,                    0.4,                0.40787,                0.37382,                0.47529,                0.87786,                 4.1219,                 1.2426,             0.00047306,             0.00047306,             0.00047306
                     32,                0.55367,                0.83695,                0.54813,                 1.0762,                0.39858,                    0.4,                0.43373,                0.39158,                0.39858,                    0.4,                0.43373,                0.40054,                0.50445,                  1.016,                 3.9645,                 1.2659,             0.00045107,             0.00045107,             0.00045107
                     33,                0.54316,                0.81993,                0.54408,                 1.0586,                0.43818,                0.47834,                 0.4975,                0.45611,                0.43818,                0.47834,                 0.4975,                0.45345,                0.47246,                0.95192,                 3.7849,                 1.2277,             0.00042907,             0.00042907,             0.00042907
                     34,                0.53195,                 0.7735,                0.51745,                 1.0636,                 0.3127,                    0.8,                0.54955,                0.50636,                 0.3127,                    0.8,                0.54955,                0.50054,                0.44907,                0.94226,                  3.899,                 1.2014,             0.00040707,             0.00040707,             0.00040707
                     35,                0.55756,                0.81271,                0.52922,                 1.0668,                0.39096,                0.40952,                0.48744,                0.43751,                0.39096,                0.40952,                0.48744,                0.45092,                0.45591,                0.85143,                 7.0313,                 1.1907,             0.00038507,             0.00038507,             0.00038507
                     36,                  0.539,                0.78556,                0.52197,                  1.062,                0.39139,                0.40991,                0.50054,                 0.4473,                0.39139,                0.40991,                0.50054,                0.46518,                0.43529,                0.95033,                 3.5698,                 1.1653,             0.00036307,             0.00036307,             0.00036307
                     37,                0.52566,                0.79419,                  0.509,                  1.051,                0.40022,                0.41915,                0.57451,                0.52702,                0.40022,                0.41915,                0.57451,                0.52381,                 0.4092,                0.89588,                 3.8702,                 1.1197,             0.00034108,             0.00034108,             0.00034108
                     38,                0.55146,                0.79473,                0.52304,                 1.0713,                0.39601,                0.40422,                0.48542,                0.45112,                0.39601,                0.40422,                0.48542,                0.44736,                0.43512,                0.86586,                 3.6298,                 1.1819,             0.00031908,             0.00031908,             0.00031908
                     39,                0.53282,                0.79816,                0.48462,                 1.0594,                0.39858,                    0.4,                 0.4909,                0.44649,                0.39858,                    0.4,                 0.4909,                0.44997,                0.45072,                0.89245,                  3.785,                  1.169,             0.00029708,             0.00029708,             0.00029708
                     40,                0.53225,                0.76809,                0.46071,                 1.0482,                0.39114,                0.40969,                0.53556,                0.49382,                0.39114,                0.40969,                0.53556,                0.48532,                0.40463,                0.91157,                  3.796,                 1.1111,             0.00027508,             0.00027508,             0.00027508
                     41,                0.33602,                 0.5255,                0.25118,                  1.047,                0.39119,                0.40967,                 0.4975,                0.46029,                0.39119,                0.40967,                 0.4975,                0.44652,                0.41478,                0.89223,                 4.0659,                 1.1412,             0.00025309,             0.00025309,             0.00025309
                     42,                0.32541,                0.50246,                  0.235,                 1.0182,                0.40003,                0.40949,                0.47245,                 0.4434,                0.40003,                0.40949,                0.47245,                0.43578,                0.43151,                0.88819,                 3.9378,                 1.1297,             0.00023109,             0.00023109,             0.00023109
                     43,                0.34037,                0.50018,                0.24091,                 1.0304,                0.33621,                   0.54,                0.45415,                0.41523,                0.33621,                   0.54,                0.45415,                0.42908,                0.42505,                0.94373,                 3.7826,                 1.1413,             0.00020909,             0.00020909,             0.00020909
                     44,                0.32416,                0.49599,                0.23139,                 1.0165,                0.48414,                    0.8,                0.58594,                0.53765,                0.48414,                    0.8,                0.58594,                0.53344,                0.45688,                0.91239,                 3.8723,                 1.2128,             0.00018709,             0.00018709,             0.00018709
                     45,                0.31327,                 0.4899,                0.22263,                 1.0037,                0.49903,                   0.74,                  0.557,                0.51796,                0.49903,                   0.74,                  0.557,                0.50841,                0.42549,                0.90625,                 3.8335,                 1.1617,             0.00016509,             0.00016509,             0.00016509
                     46,                0.30521,                0.48872,                0.21714,                0.99349,                0.49756,                    0.7,                0.54036,                0.51023,                0.49756,                    0.7,                0.54036,                0.49625,                0.40245,                0.92074,                 3.8265,                 1.1109,              0.0001431,              0.0001431,              0.0001431
                     47,                0.30303,                0.48406,                0.21269,                 1.0125,                0.45597,                   0.58,                0.47677,                0.44302,                0.45597,                   0.58,                0.47677,                0.44201,                0.45735,                0.89725,                 3.9437,                 1.2026,              0.0001211,              0.0001211,              0.0001211
                     48,                0.29248,                0.48163,                0.20263,                0.98283,                0.42028,                   0.53,                 0.4493,                0.42613,                0.42028,                   0.53,                 0.4493,                0.42403,                0.40266,                0.93236,                 4.0326,                 1.1106,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.28503,                0.47852,                0.19739,                0.96479,                0.43333,                   0.57,                0.47009,                0.44824,                0.43333,                   0.57,                0.47009,                0.43791,                0.37425,                0.93509,                 4.1591,                 1.0787,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.27759,                0.48228,                0.19279,                0.95087,                0.41867,                   0.51,                0.44676,                0.42385,                0.41867,                   0.51,                0.44676,                0.42176,                0.37052,                0.92803,                 4.0942,                 1.0775,             5.5106e-05,             5.5106e-05,             5.5106e-05
