                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.58376,                0.78567,                0.65455,                0.99839,                0.39865,                    0.4,                0.41469,                0.35597,                0.39865,                    0.4,                0.42963,                0.37881,                0.51558,                0.88923,                 2.9855,                 1.0035,             0.00060505,             0.00060505,             0.00060505
                     26,                0.56176,                0.83165,                0.66671,                0.98889,                0.39895,                    0.4,                0.42092,                0.37323,                0.39895,                    0.4,                0.41509,                0.38155,                0.44646,                0.89184,                 3.0281,                0.93664,             0.00058305,             0.00058305,             0.00058305
                     27,                0.52057,                0.74967,                0.57843,                0.97227,                0.39099,                 0.4099,                0.49938,                0.45835,                0.39099,                 0.4099,                0.50323,                0.44769,                0.44739,                0.88936,                 3.0684,                0.92955,             0.00056105,             0.00056105,             0.00056105
                     28,                0.54713,                0.77948,                0.61374,                 0.9731,                0.39985,                0.40121,                0.46736,                0.42233,                0.39985,                0.40121,                 0.4673,                0.42143,                0.46215,                0.90016,                 2.8626,                0.93542,             0.00053906,             0.00053906,             0.00053906
                     29,                0.56413,                0.78638,                0.61157,                0.98324,                0.39816,                    0.4,                0.41783,                0.37733,                0.39816,                    0.4,                0.41779,                0.38518,                0.41104,                0.86723,                   3.12,                 0.9022,             0.00051706,             0.00051706,             0.00051706
                     30,                0.54387,                0.76118,                0.56673,                0.97432,                0.39879,                    0.4,                0.42998,                0.39447,                0.39879,                    0.4,                0.43423,                0.39507,                0.44061,                0.94863,                 3.0462,                0.91307,             0.00049506,             0.00049506,             0.00049506
                     31,                0.53096,                0.79869,                0.56708,                 0.9825,                0.39082,                0.40964,                0.52668,                0.47474,                0.39082,                0.40964,                0.52984,                0.47635,                0.46724,                0.97212,                  3.148,                0.93719,             0.00047306,             0.00047306,             0.00047306
                     32,                0.53849,                0.78938,                 0.5593,                0.97465,                 0.3989,                    0.4,                0.49539,                0.46479,                 0.3989,                    0.4,                0.50166,                0.45187,                0.42788,                0.90873,                 2.9364,                0.91491,             0.00045107,             0.00045107,             0.00045107
                     33,                0.53259,                0.78547,                0.54628,                0.97488,                0.39223,                0.40765,                0.49932,                0.45688,                0.39223,                0.40765,                0.50857,                 0.4584,                0.45475,                0.86104,                 2.9354,                 0.9235,             0.00042907,             0.00042907,             0.00042907
                     34,                0.51467,                0.73742,                0.52892,                0.97053,                0.39076,                0.40957,                0.52989,                0.48497,                0.39076,                0.40957,                0.53097,                0.48109,                0.42295,                0.86366,                 2.9145,                0.91286,             0.00040707,             0.00040707,             0.00040707
