                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.53743,                0.80515,                0.60099,                 1.0589,                0.39847,                    0.4,                0.47094,                0.41767,                0.39847,                    0.4,                0.47662,                0.43151,                0.47524,                0.92617,                 3.1265,                 1.1935,             0.00060505,             0.00060505,             0.00060505
                     26,                0.56158,                0.82866,                0.60744,                 1.0578,                0.39867,                    0.4,                 0.4236,                0.36908,                0.39867,                    0.4,                0.43381,                0.38727,                0.52186,                0.90436,                 3.1239,                 1.2944,             0.00058305,             0.00058305,             0.00058305
                     27,                0.53687,                0.77145,                0.56665,                 1.0506,                0.39081,                0.40941,                0.51219,                0.45243,                0.39081,                0.40941,                0.53322,                0.46964,                0.48397,                0.90441,                 3.2073,                 1.2052,             0.00056105,             0.00056105,             0.00056105
                     28,                0.53962,                0.78596,                0.57493,                 1.0577,                0.39888,                    0.4,                0.41824,                0.35194,                0.39888,                    0.4,                0.43112,                0.38654,                0.62858,                0.92523,                 3.3245,                 1.3936,             0.00053906,             0.00053906,             0.00053906
                     29,                0.53795,                0.81234,                0.57949,                 1.0458,                0.39846,                    0.4,                0.44878,                0.38613,                0.39846,                    0.4,                0.46133,                0.41436,                0.53505,                0.82563,                 3.5267,                 1.2784,             0.00051706,             0.00051706,             0.00051706
                     30,                0.54691,                0.77978,                0.56055,                 1.0501,                0.39102,                0.40963,                 0.5263,                0.43173,                0.39102,                0.40963,                0.51384,                0.46637,                0.56048,                0.96539,                 3.1352,                 1.3491,             0.00049506,             0.00049506,             0.00049506
                     31,                0.51919,                0.77521,                0.53152,                 1.0432,                0.39857,                    0.4,                0.49376,                0.41898,                0.39857,                    0.4,                0.50033,                0.44225,                0.52763,                 0.9781,                 3.1122,                 1.2659,             0.00047306,             0.00047306,             0.00047306
                     32,                0.52138,                0.77053,                 0.5276,                 1.0451,                0.39888,                0.40032,                0.48432,                0.41154,                0.39888,                0.40032,                0.48893,                   0.44,                  0.533,                0.98037,                 3.2011,                 1.3037,             0.00045107,             0.00045107,             0.00045107
                     33,                0.51034,                 0.7763,                 0.5245,                 1.0235,                0.39443,                0.40547,                0.52158,                0.46614,                0.39443,                0.40547,                0.53332,                0.47615,                0.44905,                 1.0781,                  2.983,                 1.1653,             0.00042907,             0.00042907,             0.00042907
                     34,                0.50852,                0.75475,                0.49707,                 1.0351,                0.39869,                    0.4,                0.46184,                 0.4041,                0.39869,                    0.4,                 0.4791,                0.43163,                0.49716,                0.98324,                 3.3318,                 1.2219,             0.00040707,             0.00040707,             0.00040707
                     35,                0.51828,                0.74728,                0.49797,                 1.0239,                0.39987,                  0.401,                0.46288,                0.40308,                0.39987,                  0.401,                0.47334,                0.42233,                0.53657,                0.92937,                 3.3444,                 1.2802,             0.00038507,             0.00038507,             0.00038507
                     36,                0.50488,                0.74591,                0.50325,                 1.0233,                0.39407,                0.40622,                0.51354,                0.44693,                0.39407,                0.40622,                 0.5326,                0.46853,                0.52325,                0.96447,                 3.3494,                 1.2846,             0.00036307,             0.00036307,             0.00036307
                     37,                0.50598,                 0.7397,                0.48841,                 1.0273,                0.39091,                0.40894,                0.49681,                0.44669,                0.39091,                0.40894,                0.50552,                0.46008,                0.45227,                0.92643,                 3.0864,                  1.165,             0.00034108,             0.00034108,             0.00034108
                     38,                0.50438,                0.77139,                 0.4884,                 1.0322,                0.39892,                    0.4,                0.51459,                0.45261,                0.39892,                    0.4,                0.52501,                0.47302,                 0.4866,                0.97666,                 3.1275,                 1.2147,             0.00031908,             0.00031908,             0.00031908
                     39,                0.50389,                 0.7671,                0.49017,                 1.0288,                0.39504,                0.40567,                0.52621,                0.47661,                0.39504,                0.40567,                0.53653,                0.48358,                0.45615,                0.98772,                 3.1275,                 1.1619,             0.00029708,             0.00029708,             0.00029708
                     40,                0.50323,                0.71707,                0.45717,                  1.023,                0.39597,                0.40388,                0.47207,                0.42138,                0.39597,                0.40388,                0.48143,                0.43413,                0.47908,                0.97254,                 3.2156,                 1.2062,             0.00027508,             0.00027508,             0.00027508
                     41,                0.31125,                0.49055,                0.40004,                 1.0204,                0.39897,                    0.4,                0.40285,                0.36135,                0.39897,                    0.4,                0.40736,                0.38081,                0.47801,                 1.0267,                   3.61,                 1.1464,             0.00025309,             0.00025309,             0.00025309
                     42,                0.32147,                0.48933,                0.38467,                 1.0125,                0.39877,                    0.4,                 0.4067,                 0.3612,                0.39877,                    0.4,                0.40795,                0.37832,                0.45836,                0.95662,                 3.4526,                 1.1397,             0.00023109,             0.00023109,             0.00023109
                     43,                0.32235,                0.48457,                0.37204,                 1.0141,                0.39889,                    0.4,                0.40731,                0.35982,                0.39889,                    0.4,                0.41032,                0.37972,                 0.4751,                0.99326,                 3.3913,                 1.1627,             0.00020909,             0.00020909,             0.00020909
                     44,                0.30516,                0.48376,                0.35353,                 1.0026,                0.39898,                    0.4,                 0.4398,                0.38426,                0.39898,                    0.4,                0.44317,                0.40375,                0.49479,                0.99389,                 3.4092,                 1.2196,             0.00018709,             0.00018709,             0.00018709
                     45,                0.30221,                0.47704,                0.34115,                0.98775,                0.39885,                    0.4,                0.43756,                0.37501,                0.39885,                    0.4,                0.44201,                0.40234,                0.50953,                0.97847,                 3.3602,                 1.2372,             0.00016509,             0.00016509,             0.00016509
                     46,                0.29947,                 0.4751,                0.32844,                0.99197,                0.39885,                    0.4,                0.42866,                0.37184,                0.39885,                    0.4,                0.42866,                0.39626,                0.49598,                0.96869,                  3.456,                  1.233,              0.0001431,              0.0001431,              0.0001431
                     47,                0.30076,                 0.4708,                0.33058,                 1.0021,                 0.3989,                    0.4,                0.48228,                0.42604,                 0.3989,                    0.4,                  0.483,                0.44119,                0.48998,                0.92075,                 3.4435,                 1.2296,              0.0001211,              0.0001211,              0.0001211
                     48,                0.29026,                0.47054,                0.31587,                0.98702,                0.39892,                    0.4,                0.47901,                0.42444,                0.39892,                    0.4,                0.47901,                0.44019,                0.47454,                0.91865,                 3.4891,                 1.1953,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.28159,                0.47263,                0.31341,                0.96172,                0.39899,                0.40126,                0.50413,                0.44613,                0.39899,                0.40126,                0.50413,                0.46112,                0.46719,                0.94322,                 3.5938,                 1.1784,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                  0.273,                  0.474,                0.30728,                0.95144,                0.39889,                    0.4,                0.49452,                0.44451,                0.39889,                    0.4,                0.49452,                0.45471,                0.43449,                0.94641,                 3.6185,                 1.1326,             5.5106e-05,             5.5106e-05,             5.5106e-05
